{'epoch_num': 20}
{'val_loss': 4.637168556570532, 'train_loss': 3.006032947877153, 'bleu_score': 0.029989964982131828}
{'val_loss': 4.319755676258133, 'train_loss': 2.3240314153296437, 'bleu_score': 0.025423708767324343}
{'val_loss': 4.1188191431927015, 'train_loss': 2.0909932322170013, 'bleu_score': 0.04789941526319977}
{'val_loss': 3.9402543638806895, 'train_loss': 1.9241627111363766, 'bleu_score': 0.07158834307295611}
{'val_loss': 3.8111392601552714, 'train_loss': 1.7868823483808716, 'bleu_score': 0.05924321156902865}
{'val_loss': 3.704765257607418, 'train_loss': 1.6693638751162818, 'bleu_score': 0.06956125391030805}
{'val_loss': 3.608512778681113, 'train_loss': 1.570009575257847, 'bleu_score': 0.06542694833078151}
{'val_loss': 3.4853635014765767, 'train_loss': 1.4832985606359606, 'bleu_score': 0.08858128703333024}
{'val_loss': 3.421081948565297, 'train_loss': 1.4118210799065396, 'bleu_score': 0.10074164305922495}
{'val_loss': 3.436072419839076, 'train_loss': 1.3486555129734439, 'bleu_score': 0.07436278194551846}
{'val_loss': 3.354166181913885, 'train_loss': 1.2941070310511993, 'bleu_score': 0.10955315436793209}
{'val_loss': 3.352666675332058, 'train_loss': 1.2460267174303234, 'bleu_score': 0.10609206021410354}
{'val_loss': 3.323196981057703, 'train_loss': 1.202732384501405, 'bleu_score': 0.10762289398822951}
{'val_loss': 3.2678602772404948, 'train_loss': 1.1642631252013629, 'bleu_score': 0.11840473254557149}
{'val_loss': 3.2571427855358657, 'train_loss': 1.1290378441858056, 'bleu_score': 0.15343210322410872}
{'val_loss': 3.251596001039938, 'train_loss': 1.0971179080839775, 'bleu_score': 0.11030119115949309}
{'val_loss': 3.239905386806959, 'train_loss': 1.0685820560846755, 'bleu_score': 0.11654383599342502}
{'val_loss': 3.2188584676301812, 'train_loss': 1.0414019690817269, 'bleu_score': 0.12680393056939662}
{'val_loss': 3.230019331453331, 'train_loss': 1.0160430368499376, 'bleu_score': 0.12338125725428156}
{'val_loss': 3.2439692728072997, 'train_loss': 0.9934004148737116, 'bleu_score': 0.1078404233246319}
